gene_set,interaction_type,ffa_type,interaction_score,epistatic_fold,standard_error,p_value,fdr_corrected_p,effect_size,significant_p05,significant_fdr05
FKH1:GCN5,digenic,C140,-0.07147174571432968,0.9310225826012598,0.20111865337176577,0.7223116389236817,0.761542622507396,0.07147174571432968,False,False
FKH1:MED4,digenic,C140,-0.8271938159086926,0.4372746393708496,0.1895538104257373,1.2776417533219016e-05,3.2768532015250846e-05,0.8271938159086926,True,True
FKH1:OPI1,digenic,C140,-1.4828549729048381,0.22698871579174767,0.18955381042573702,5.163208095473634e-15,6.085209541093925e-14,1.4828549729048381,True,True
FKH1:RFX1,digenic,C140,-1.5706809596670446,0.20790356020387213,0.18955381042573685,1.1692319299225143e-16,1.7276710606317746e-15,1.5706809596670446,True,True
FKH1:RGR1,digenic,C140,-1.8308397190893198,0.16027892198036003,0.18955381042573702,4.5164290750165235e-22,2.794540490166474e-20,1.8308397190893198,True,True
FKH1:RPD3,digenic,C140,-1.3757612448926757,0.2526471961946754,0.18955381042573685,3.931668017549958e-13,2.971260562881266e-12,1.3757612448926757,True,True
FKH1:SPT3,digenic,C140,-1.2939436085609306,0.27418736057425874,0.18955381042573688,8.715686349258324e-12,5.1979093287745424e-11,1.2939436085609306,True,True
FKH1:YAP6,digenic,C140,-1.3732305306638513,0.2532873837731907,0.1895538104257368,4.3390311236560974e-13,3.229805122119952e-12,1.3732305306638513,True,True
FKH1:TFC7,digenic,C140,-1.5967277494095171,0.20255825609084774,0.189553810425737,3.6505183703265426e-17,6.023355311038795e-16,1.5967277494095171,True,True
GCN5:MED4,digenic,C140,-0.4418360234646343,0.6428550399555569,0.2121164695428694,0.03725233337144001,0.056133653025457544,0.4418360234646343,True,False
GCN5:OPI1,digenic,C140,-0.40046275985488783,0.6700099205907447,0.2011186533717664,0.04646147359903418,0.06784197472425345,0.40046275985488783,True,False
GCN5:RFX1,digenic,C140,-0.6205685327947619,0.5376386854634347,0.2011186533717666,0.002031527167952261,0.003875167430197954,0.6205685327947619,True,True
